title,rank,date,artist,url,region,chart,trend,streams,year
Stunnin',1,2020-06-17,"Curtis Waters, Harm Franklin",https://open.spotify.com/track/2LUdpPCiiza6UQugipjMeS,United States,viral50,SAME_POSITION,,2020
ROCKSTAR (feat. Roddy Ricch),1,2020-04-17,DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,United States,top200,NEW_ENTRY,1943164.0,2020
positions,1,2020-11-23,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,United States,top200,SAME_POSITION,1094197.0,2020
Mood (feat. iann dior),1,2020-08-29,24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,United States,viral50,SAME_POSITION,,2020
Capitalize Off Pain,1,2020-10-05,Big $tunt,https://open.spotify.com/track/7x3vcsxOTWQm3FxRrUEqzv,United States,viral50,NEW_ENTRY,,2020
THE SCOTTS,1,2020-04-24,"THE SCOTTS, Travis Scott, Kid Cudi",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,United States,top200,NEW_ENTRY,3345119.0,2020
The Box,1,2020-01-01,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,United States,top200,SAME_POSITION,1812103.0,2020
Therefore I Am,1,2020-11-18,Billie Eilish,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,United States,top200,SAME_POSITION,1294152.0,2020
Times We Had,1,2020-06-02,"Barlito, Juju, JayHollywood, Eli Staxxz",https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz,United States,viral50,SAME_POSITION,,2020
Ela É do Tipo,1,2019-05-03,MC Kevin o Chris,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP,Brazil,top200,SAME_POSITION,573581.0,2019
Callaita,1,2019-07-16,"Bad Bunny, Tainy",https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,Peru,top200,SAME_POSITION,158453.0,2019
Calma - Remix,1,2019-01-25,"Pedro Capó, Farruko",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,Argentina,top200,SAME_POSITION,436563.0,2019
RITMO (Bad Boys For Life),1,2019-11-12,"Black Eyed Peas, J Balvin",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,Argentina,top200,SAME_POSITION,261624.0,2019
China,1,2019-09-06,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,Colombia,top200,SAME_POSITION,98651.0,2019
China,1,2019-07-25,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,Uruguay,top200,SAME_POSITION,21334.0,2019
